date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:42:19	1047/1047	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Jul%202018%2016:42:19%20GMT	http://www.juniv.edu/robots.txt		(from )
22:42:20	52159/52159	---MC-	200	added ('OK')	text/html	date:Thu,%2005%20Jul%202018%2016:42:19%20GMT	http://www.juniv.edu/teachers?keyword=&departmentId=9	F:/CSE/outdoor/work/xampp/htdocs/CSEJUWeb/raw_file/teacher/JU%20CSE%20Teachers/www.juniv.edu/teachers354f.html	(from )
22:42:22	2745/2745	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Feb%202018%2000:19:16%20GMT	http://www.juniv.edu/client-v2/favicons/favicon-32x32.png	F:/CSE/outdoor/work/xampp/htdocs/CSEJUWeb/raw_file/teacher/JU%20CSE%20Teachers/www.juniv.edu/client-v2/favicons/favicon-32x32.png	(from http://www.juniv.edu/teachers?keyword=&departmentId=9)
22:42:23	1582/1582	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Feb%202018%2000:19:16%20GMT	http://www.juniv.edu/client-v2/favicons/favicon-16x16.png	F:/CSE/outdoor/work/xampp/htdocs/CSEJUWeb/raw_file/teacher/JU%20CSE%20Teachers/www.juniv.edu/client-v2/favicons/favicon-16x16.png	(from http://www.juniv.edu/teachers?keyword=&departmentId=9)
22:42:24	452/452	---M--	200	added ('OK')	application/json	date:Mon,%2012%20Feb%202018%2000:19:16%20GMT	http://www.juniv.edu/client-v2/favicons/manifest.json	F:/CSE/outdoor/work/xampp/htdocs/CSEJUWeb/raw_file/teacher/JU%20CSE%20Teachers/www.juniv.edu/client-v2/favicons/manifest.json	(from http://www.juniv.edu/teachers?keyword=&departmentId=9)
22:42:24	53236/53236	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Feb%202018%2000:19:16%20GMT	http://www.juniv.edu/client-v2/favicons/apple-touch-icon.png	F:/CSE/outdoor/work/xampp/htdocs/CSEJUWeb/raw_file/teacher/JU%20CSE%20Teachers/www.juniv.edu/client-v2/favicons/apple-touch-icon.png	(from http://www.juniv.edu/teachers?keyword=&departmentId=9)
22:42:24	26542/26542	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Feb%202018%2000:19:16%20GMT	http://www.juniv.edu/client-v2/favicons/safari-pinned-tab.svg	F:/CSE/outdoor/work/xampp/htdocs/CSEJUWeb/raw_file/teacher/JU%20CSE%20Teachers/www.juniv.edu/client-v2/favicons/safari-pinned-tab.svg	(from http://www.juniv.edu/teachers?keyword=&departmentId=9)
22:42:25	271/271	---M--	200	added ('OK')	application/xml	date:Mon,%2012%20Feb%202018%2000:19:16%20GMT	http://www.juniv.edu/client-v2/favicons/browserconfig.xml	F:/CSE/outdoor/work/xampp/htdocs/CSEJUWeb/raw_file/teacher/JU%20CSE%20Teachers/www.juniv.edu/client-v2/favicons/browserconfig.xml	(from http://www.juniv.edu/teachers?keyword=&departmentId=9)
22:42:25	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Mon,%2012%20Feb%202018%2000:19:16%20GMT	http://www.juniv.edu/client-v2/favicons/favicon.ico	F:/CSE/outdoor/work/xampp/htdocs/CSEJUWeb/raw_file/teacher/JU%20CSE%20Teachers/www.juniv.edu/client-v2/favicons/favicon.ico	(from http://www.juniv.edu/teachers?keyword=&departmentId=9)
22:42:26	13021/13021	---M--	200	added ('OK')	text/css	date:Fri,%2011%20May%202018%2001:27:12%20GMT	http://www.juniv.edu/client-v2/css/client-style.css	F:/CSE/outdoor/work/xampp/htdocs/CSEJUWeb/raw_file/teacher/JU%20CSE%20Teachers/www.juniv.edu/client-v2/css/client-style.css	(from http://www.juniv.edu/teachers?keyword=&departmentId=9)
22:42:29	52789/52789	---MCZ	200	added ('OK')	text/css	etag:W/%225a962041-ce35%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	F:/CSE/outdoor/work/xampp/htdocs/CSEJUWeb/raw_file/teacher/JU%20CSE%20Teachers/cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	(from http://www.juniv.edu/teachers?keyword=&departmentId=9)
22:42:31	127349/127349	---M--	200	added ('OK')	text/css	date:Mon,%2012%20Feb%202018%2000:19:16%20GMT	http://www.juniv.edu/client-v2/ui-libs/bootstrap-4.0.0-beta/css/bootstrap.min.css	F:/CSE/outdoor/work/xampp/htdocs/CSEJUWeb/raw_file/teacher/JU%20CSE%20Teachers/www.juniv.edu/client-v2/ui-libs/bootstrap-4.0.0-beta/css/bootstrap.min.css	(from http://www.juniv.edu/teachers?keyword=&departmentId=9)
22:42:33	19236/19236	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a963222-4b24%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.3/umd/popper.min.js	F:/CSE/outdoor/work/xampp/htdocs/CSEJUWeb/raw_file/teacher/JU%20CSE%20Teachers/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.3/umd/popper.min.js	(from http://www.juniv.edu/teachers?keyword=&departmentId=9)
